name,full_name,description,html_url,language,stars,forks,issues,contributors,recent_commits,star_velocity,created_at,updated_at,topics,license,size,default_branch,momentum_score,age_days,days_since_update,growth_rate,contributor_velocity,activity_score,freshness_score,star_velocity_norm,growth_rate_norm,engagement_norm,contributor_velocity_norm,activity_norm,freshness_norm,quality_norm,fork_ratio,issue_ratio,engagement_score,trend_direction,repo_type,growth_potential,growth_category
straight-to-video,searlsco/straight-to-video,"Browser-based, hardware-accelerated video upload optimization",https://github.com/searlsco/straight-to-video,JavaScript,21,0,0,1,15,21.0,2025-11-07 01:47:21,2025-11-08 04:17:17,"['shovelware', 'webcodecs']",MIT License,13265,main,69.6,0,-1,630.0,30.0,1.0,1.0,0.42,1.0,0.0,1.0,1.0,1.0,0.8200000000000001,0.0,0.0,50.0,rising,experimental,64.9,high
ayasya-wagw,radhityaa/ayasya-wagw,Ayasya Whatsapp Gateway By Ayasya Tech Indonesia,https://github.com/radhityaa/ayasya-wagw,JavaScript,25,6,0,1,3,25.0,2025-11-07 12:20:39,2025-11-08 01:43:04,[],,92,main,65.7,0,-1,750.0,30.0,0.3,1.0,0.5,1.0,0.24,1.0,0.3,1.0,0.32,0.24,0.0,44.5,rising,experimental,49.39999999999999,moderate
mcp-shellkeeper,tranhuucanh/mcp-shellkeeper,Persistent Terminal Sessions + File Transfer for AI Assistants,https://github.com/tranhuucanh/mcp-shellkeeper,JavaScript,12,0,0,1,2,12.0,2025-11-07 15:23:51,2025-11-08 03:48:55,[],MIT License,18,master,55.60000000000001,0,-1,360.0,30.0,0.2,1.0,0.24,1.0,0.0,1.0,0.2,1.0,0.52,0.0,0.0,30.0,rising,experimental,39.00000000000001,moderate
