name,full_name,description,html_url,language,stars,forks,issues,contributors,recent_commits,star_velocity,created_at,updated_at,topics,license,size,default_branch,momentum_score,age_days,days_since_update,growth_rate,contributor_velocity,activity_score,freshness_score,star_velocity_norm,growth_rate_norm,engagement_norm,contributor_velocity_norm,activity_norm,freshness_norm,quality_norm,fork_ratio,issue_ratio,engagement_score,trend_direction,repo_type,growth_potential,growth_category
Nexo-SelfBot,MrAminiDev/Nexo-SelfBot,"🤖 Nexo Selfie is a selfie-making bot and intelligent virtual assistant on Telegram designed to improve and simplify your daily tasks. With over 100 useful tools, Nexo allows you to perform a variety of tasks quickly and without the need for technical knowledge.",https://github.com/MrAminiDev/Nexo-SelfBot,Python,19,6,0,1,9,19.0,2025-11-10 05:55:09,2025-11-10 15:44:39,[],Apache License 2.0,1361,main,70.83684210526316,0,0,570.0,30.0,0.9,1.0,0.38,1.0,0.3157894736842105,1.0,0.9,1.0,0.52,0.3157894736842105,0.0,63.28947368421053,rising,experimental,61.93684210526315,high
hyperliquid-mcp-server,caiovicentino/hyperliquid-mcp-server,"🚀 MCP Server para Hyperliquid DEX - Trade com Claude usando linguagem natural. Desenvolvido por Caio Vicentino para as comunidades Yield Hacker, Renda Cripto e Cultura Builder",https://github.com/caiovicentino/hyperliquid-mcp-server,Python,13,4,0,1,2,13.0,2025-11-10 02:16:02,2025-11-11 01:03:04,"['ai', 'automation', 'blockchain', 'claude', 'crypto', 'defi', 'hyperliquid', 'mcp', 'python', 'trading']",MIT License,56,main,62.215384615384615,0,-1,390.0,30.0,0.2,1.0,0.26,1.0,0.3076923076923077,1.0,0.2,1.0,0.8200000000000001,0.3076923076923077,0.0,45.38461538461539,rising,experimental,48.71538461538462,moderate
Embodied_AI_Arm_open,xaio6/Embodied_AI_Arm_open, Horizon 具身智能机械臂控制系统,https://github.com/xaio6/Embodied_AI_Arm_open,Python,15,3,0,1,4,15.0,2025-11-10 05:32:19,2025-11-10 15:06:10,[],Other,3054,main,60.60000000000001,0,0,450.0,30.0,0.4,1.0,0.3,1.0,0.2,1.0,0.4,1.0,0.22000000000000003,0.2,0.0,44.99999999999999,rising,experimental,43.300000000000004,moderate
ComfyUI-PainterLongVideo,princepainter/ComfyUI-PainterLongVideo,"A powerful node for generating long-form videos with consistent motion, global scene coherence, and slow-motion correction in Wan 2.2-based workflows.",https://github.com/princepainter/ComfyUI-PainterLongVideo,Python,12,0,0,1,3,12.0,2025-11-11 03:27:45,2025-11-11 04:14:32,[],,18,main,55.62739726027398,-1,-1,360.0,30.0,0.3,1.0027397260273974,0.24,1.0,0.0,1.0,0.3,1.0027397260273974,0.32,0.0,0.0,32.5,rising,experimental,38.054794520547944,moderate
SmolAgent-Inception,appenz/SmolAgent-Inception,Example how to use SmolAgent with the diffusion based Inception Model,https://github.com/appenz/SmolAgent-Inception,Python,12,0,0,1,2,12.0,2025-11-10 02:58:20,2025-11-10 22:22:22,[],Apache License 2.0,49,main,55.60000000000001,0,0,360.0,30.0,0.2,1.0,0.24,1.0,0.0,1.0,0.2,1.0,0.52,0.0,0.0,30.0,rising,experimental,39.00000000000001,moderate
